DATA1,DATA2,DATA3
ABplppaapap,268.991666666667,817.831902702859
ABplppaapap,270.4,755.634330814454
ABplppaapap,271.808333333333,796.658261208934
ABplppaapap,273.216666666667,1283.65201556921
ABplppaapap,274.625,494.9338699205
ABplppaapap,276.033333333333,509.490748447574
ABplppaapap,277.441666666667,1029.56831764211
ABplppaapap,278.85,563.618479701704
ABplppaapap,280.258333333333,897.120538696796
ABplppaapap,281.666666666667,1682.51788763024
ABplppaapap,283.075,932.13825489128
ABplppaapap,284.483333333333,1050.53148583454
ABplppaapap,285.891666666667,930.470744596305
ABplppaapap,287.3,1083.88169173405
ABplppaapap,288.708333333333,1070.54160937424
ABplppaapap,290.116666666667,1394.03860659948
ABplppaapap,291.525,1053.86650642449
ABplppaapap,292.933333333333,827.085106307826
ABplppaapap,294.341666666667,1789.23854650866
ABplppaapap,295.75,1880.95161273231
ABplppaapap,297.158333333333,1405.71117866431
ABplppaapap,298.566666666667,1504.09428606786
ABplppaapap,299.975,923.800703416403
ABplppaapap,301.383333333333,2184.43848641785
ABplppaapap,302.791666666667,1820.9212421132
ABplppaapap,304.2,1679.18286704028
ABplppaapap,305.608333333333,1979.33472013587
ABplppaapap,307.016666666667,1555.7871052121
ABplppaapap,308.425,1414.04873013919
ABplppaapap,309.833333333333,2344.51947473549
ABplppaapap,311.241666666667,3975.34454322149
ABplppaapap,312.65,3403.38851204491
ABplppaapap,314.058333333333,3858.61882257321
ABplppaapap,315.466666666667,3289.99781198657
ABplppaapap,316.875,3149.92694720864
ABplppaapap,318.283333333333,4882.47014368814
ABplppaapap,319.691666666667,4655.68874357147
ABplppaapap,321.1,5841.28856329902
ABplppaapap,322.508333333333,4557.30563616792
ABplppaapap,323.916666666667,5210.9696717983
ABplppaapap,325.325,5526.12911754866
ABplppaapap,326.733333333333,5232.64730563298
ABplppaapap,328.141666666667,5949.67673247243
ABplppaapap,329.55,6358.21675474141
ABplppaapap,330.958333333333,5240.98485710786
ABplppaapap,332.366666666667,6034.71975751618
ABplppaapap,333.775,5916.32652657292
ABplppaapp,174.633333333333,1066.79109878403
ABplppaapp,176.041666666667,1366.39140736931
ABplppaapp,177.45,692.290713052423
ABplppaapp,178.858333333333,853.860879468058
ABplppaapp,180.266666666667,627.269129257532
ABplppaapp,181.675,599.478724796756
ABplppaapp,183.083333333333,230.263351246436
ABplppaapp,184.491666666667,328.19144315584
ABplppaapp,185.9,608.742192950348
ABplppaapp,187.308333333333,541.251210688461
ABplppaapp,188.716666666667,792.688203428823
ABplppaapp,190.125,549.191326248683
ABplppaapp,191.533333333333,832.388781229932
ABplppaapp,192.941666666667,749.017567847602
ABplppaapp,194.35,824.44866566971
ABplppaapp,195.758333333333,406.269246164689
ABplppaapp,197.166666666667,325.544737969099
ABplppaapp,198.575,0
ABplppaapp,199.983333333333,272.610634234286
ABplppaapp,201.391666666667,0
ABplppaapp,202.8,0
ABplppaapp,204.208333333333,23.8203466806658
ABplppaapp,205.616666666667,25.1436992740361
ABplppaapp,207.025,211.736414939251
ABplppaapp,208.433333333333,0
ABplppaapp,209.841666666667,277.904044607768
ABplppaapp,211.25,296.430980914952
ABplppaapp,212.658333333333,0
ABplppaapp,214.066666666667,0
ABplppaapp,215.475,87.3412711624412
ABplppaapp,216.883333333333,0
ABplppaapp,218.291666666667,0
ABplppaapp,219.7,34.4071674276284
ABplppaapp,221.108333333333,385.095604670764
ABplppaapp,222.516666666667,224.969940872955
ABplppaapp,223.925,0
ABplppaapp,225.333333333333,328.19144315584
ABplppaapp,226.741666666667,389.065662450875
ABplppaapp,228.15,312.311212035396
ABplppaapp,229.558333333333,432.736298032095
ABplppaapp,230.966666666667,99.2514445027741
ABplppaapp,232.375,242.173524586769
ABplppaapp,233.783333333333,194.532831225437
ABplppaapp,235.191666666667,0
ABplppaappa,236.6,289.8142179481
ABplppaappa,238.008333333333,178.652600104993
ABplppaappa,239.416666666667,823.12531307634
ABplppaappa,240.825,238.203466806658
ABplppaappa,242.233333333333,281.874102387879
ABplppaappa,243.641666666667,103.221502282885
ABplppaappa,245.05,268.640576454175
ABplppaappa,246.458333333333,377.155489110542
ABplppaappa,247.866666666667,0
ABplppaappa,249.275,410.2393039448
ABplppaappa,250.683333333333,0
ABplppaappa,252.091666666667,0
ABplppaappa,253.5,50.2873985480722
ABplppaappa,254.908333333333,0
ABplppaappa,256.316666666667,296.430980914952
ABplppaappa,257.725,706.670284859752
ABplppaappa,259.133333333333,0
ABplppaappa,260.541666666667,103.221502282885
ABplppaappa,261.95,201.149594192289
ABplppaappa,263.358333333333,51.6107511414425
ABplppaappa,264.766666666667,390.389015044245
ABplppaappa,266.175,549.191326248683
ABplppaappa,267.583333333333,202.472946785659
ABplppaappa,268.991666666667,443.323118779058
ABplppaappa,270.4,349.365084649765
ABplppaappa,271.808333333333,486.993754360278
ABplppaappa,273.216666666667,725.197221166936
ABplppaappa,274.625,121.74843859007
ABplppaappa,276.033333333333,497.580575107241
ABplppaappa,277.441666666667,887.969590151486
ABplppaappa,278.85,857.100291617385
ABplppaappa,280.258333333333,1327.33819480046
ABplppaappa,281.666666666667,872.107884272164
ABplppaappa,283.075,708.691875364569
ABplppaappa,284.483333333333,561.950969406729
ABplppaappa,285.891666666667,383.527367844355
ABplppaappa,287.3,531.935784097171
ABplppaappa,288.708333333333,286.811770735778
ABplppaappa,290.116666666667,1092.21924320892
ABplppaappa,291.525,967.155971085764
ABplppaappa,292.933333333333,16.6751029497546
ABplppaappa,294.341666666667,902.123069581722
ABplppaappa,295.75,1117.23189763356
ABplppaappa,297.158333333333,1290.652968311
ABplppaappa,298.566666666667,620.31382973087
ABplppaappa,299.975,1767.56091267398
ABplppaappa,301.383333333333,1720.87062441467
ABplppaappa,302.791666666667,1202.2749226773
ABplppaappa,304.2,1605.81241406136
ABplppaappa,305.608333333333,1642.49764055082
ABplppaappa,307.016666666667,2034.36255987006
ABplppaappa,308.425,2301.16420706613
ABplppaappa,309.833333333333,2134.41317756858
ABplppaappa,311.241666666667,1944.31700394138
ABplppaappa,312.65,1435.72636397387
ABplppaappa,314.058333333333,1162.25467559789
ABplppaappa,315.466666666667,828.752616602802
ABplppaappa,316.875,2147.75325992839
ABplppaappa,318.283333333333,2302.8317173611
ABplppaappa,319.691666666667,1347.34831834017
ABplppaappa,321.1,1614.14996553624
ABplppaappa,322.508333333333,1910.96679804187
ABplppaappa,323.916666666667,341.839610469969
ABplppaappa,325.325,870.440373977188
ABplppaappa,326.733333333333,116.725720648282
ABplppaappa,328.141666666667,1032.18887258981
ABplppaappa,329.55,1245.63019034667
ABplppaappa,330.958333333333,2206.11612025253
ABplppaappa,332.366666666667,2567.9658542622
ABplppaappa,333.775,1707.53054205487
ABplppaappp,236.6,416.856066911651
ABplppaappp,238.008333333333,1.32335259337032
ABplppaappp,239.416666666667,136.305317117143
ABplppaappp,240.825,0
ABplppaappp,242.233333333333,538.604505501721
ABplppaappp,243.641666666667,717.257105606714
ABplppaappp,245.05,501.550632887352
ABplppaappp,246.458333333333,255.407050520472
ABplppaappp,247.866666666667,0
ABplppaappp,249.275,78.077803008849
ABplppaappp,250.683333333333,504.197338074092
ABplppaappp,252.091666666667,285.844160167989
ABplppaappp,253.5,13.2335259337032
ABplppaappp,254.908333333333,397.005778011096
ABplppaappp,256.316666666667,321.574680188988
ABplppaappp,257.725,0
ABplppaappp,259.133333333333,445.969823965798
ABplppaappp,260.541666666667,490.963812140389
ABplppaappp,261.95,140.275374897254
ABplppaappp,263.358333333333,0
ABplppaappp,264.766666666667,0
ABplppaappp,266.175,603.448782576867
ABplppaappp,267.583333333333,426.119535065243
ABplppaappp,268.991666666667,0
ABplppaappp,270.4,288.49086535473
ABplppaappp,271.808333333333,0
ABplppaappp,273.216666666667,230.263351246436
ABplppaappp,274.625,555.808089215535
ABplppaappp,276.033333333333,7.94011556022193
ABplppaappp,277.441666666667,731.813984133788
ABplppaappp,278.85,370.187285484551
ABplppaappp,280.258333333333,488.580516427809
ABplppaappp,281.666666666667,298.484342800607
ABplppaappp,283.075,1243.96268005169
ABplppaappp,284.483333333333,1003.84119757522
ABplppaappp,285.891666666667,261.799116311147
ABplppaappp,287.3,847.095229847532
ABplppaappp,288.708333333333,343.507120764944
ABplppaappp,290.116666666667,46.6902882593128
ABplppaappp,291.525,301.819363390558
ABplppaappp,292.933333333333,376.857326664453
ABplppaappp,294.341666666667,745.377101854029
ABplppaappp,295.75,190.096173627202
ABplppaappp,297.158333333333,575.291051766532
ABplppaappp,298.566666666667,646.993994450477
ABplppaappp,299.975,752.047143033931
ABplppaappp,301.383333333333,750.379632738955
ABplppaappp,302.791666666667,1584.13478022668
ABplppaappp,304.2,1068.87409907927
ABplppaappp,305.608333333333,985.498584330495
ABplppaappp,307.016666666667,590.298644421312
ABplppaappp,308.425,862.102822502311
ABplppaappp,309.833333333333,591.966154716287
ABplppaappp,311.241666666667,1337.34325657032
ABplppaappp,312.65,1083.88169173405
ABplppaappp,314.058333333333,1025.51883140991
ABplppaappp,315.466666666667,1537.44449196737
ABplppaappp,316.875,903.790579876697
ABplppaappp,318.283333333333,1197.27239179238
ABplppaappp,319.691666666667,1849.26891712778
ABplppaappp,321.1,1854.27144801271
ABplppaappp,322.508333333333,2111.06803343893
ABplppaappp,323.916666666667,2566.29834396723
ABplppaappp,325.325,2432.89752036919
ABplppaappp,326.733333333333,2554.6257719024
